Model,MSO54
Channel,CH1
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,62500
Zero Index,31249.53125000
Vertical Units,V
,
ANALOG_Thumbnail,

TIME,CH1
-4.97048500e-06,0.00000000e+00
-4.97032500e-06,0.00000000e+00
-4.97016500e-06,0.00000000e+00
-4.97000500e-06,0.00000000e+00
-4.96984500e-06,-8.00000000e-04
-4.96968500e-06,0.00000000e+00
-4.96952500e-06,0.00000000e+00
-4.96936500e-06,0.00000000e+00
-4.96920500e-06,0.00000000e+00
-4.96904500e-06,0.00000000e+00
-4.96888500e-06,-8.00000000e-04
-4.96872500e-06,0.00000000e+00
-4.96856500e-06,0.00000000e+00
-4.96840500e-06,8.00000000e-04
-4.96824500e-06,8.00000000e-04
-4.96808500e-06,0.00000000e+00
-4.96792500e-06,0.00000000e+00
-4.96776500e-06,0.00000000e+00
-4.96760500e-06,0.00000000e+00
-4.96744500e-06,0.00000000e+00
-4.96728500e-06,0.00000000e+00
-4.96712500e-06,0.00000000e+00
-4.96696500e-06,0.00000000e+00
-4.96680500e-06,0.00000000e+00
-4.96664500e-06,0.00000000e+00
-4.96648500e-06,-8.00000000e-04
-4.96632500e-06,-8.00000000e-04
-4.96616500e-06,-8.00000000e-04
-4.96600500e-06,0.00000000e+00
-4.96584500e-06,0.00000000e+00
-4.96568500e-06,0.00000000e+00
-4.96552500e-06,0.00000000e+00
-4.96536500e-06,0.00000000e+00
-4.96520500e-06,0.00000000e+00
-4.96504500e-06,0.00000000e+00
-4.96488500e-06,0.00000000e+00
-4.96472500e-06,-8.00000000e-04
-4.96456500e-06,0.00000000e+00
-4.96440500e-06,0.00000000e+00
-4.96424500e-06,0.00000000e+00
-4.96408500e-06,0.00000000e+00
-4.96392500e-06,0.00000000e+00
-4.96376500e-06,0.00000000e+00
-4.96360500e-06,0.00000000e+00
-4.96344500e-06,0.00000000e+00
-4.96328500e-06,0.00000000e+00
-4.96312500e-06,0.00000000e+00
-4.96296500e-06,0.00000000e+00
-4.96280500e-06,0.00000000e+00
-4.96264500e-06,0.00000000e+00
-4.96248500e-06,0.00000000e+00
-4.96232500e-06,0.00000000e+00
-4.96216500e-06,0.00000000e+00
-4.96200500e-06,8.00000000e-04
-4.96184500e-06,8.00000000e-04
-4.96168500e-06,8.00000000e-04
-4.96152500e-06,0.00000000e+00
-4.96136500e-06,0.00000000e+00
-4.96120500e-06,0.00000000e+00
-4.96104500e-06,0.00000000e+00
-4.96088500e-06,0.00000000e+00
-4.96072500e-06,0.00000000e+00
-4.96056500e-06,0.00000000e+00
-4.96040500e-06,0.00000000e+00
-4.96024500e-06,0.00000000e+00
-4.96008500e-06,0.00000000e+00
-4.95992500e-06,0.00000000e+00
-4.95976500e-06,0.00000000e+00
-4.95960500e-06,0.00000000e+00
-4.95944500e-06,0.00000000e+00
-4.95928500e-06,0.00000000e+00
-4.95912500e-06,0.00000000e+00
-4.95896500e-06,0.00000000e+00
-4.95880500e-06,0.00000000e+00
-4.95864500e-06,0.00000000e+00
-4.95848500e-06,0.00000000e+00
-4.95832500e-06,0.00000000e+00
-4.95816500e-06,0.00000000e+00
-4.95800500e-06,0.00000000e+00
-4.95784500e-06,0.00000000e+00
-4.95768500e-06,0.00000000e+00
-4.95752500e-06,0.00000000e+00
-4.95736500e-06,8.00000000e-04
-4.95720500e-06,8.00000000e-04
-4.95704500e-06,8.00000000e-04
-4.95688500e-06,8.00000000e-04
-4.95672500e-06,0.00000000e+00
-4.95656500e-06,0.00000000e+00
-4.95640500e-06,-8.00000000e-04
-4.95624500e-06,-8.00000000e-04
-4.95608500e-06,0.00000000e+00
-4.95592500e-06,0.00000000e+00
-4.95576500e-06,-8.00000000e-04
-4.95560500e-06,-8.00000000e-04
-4.95544500e-06,-8.00000000e-04
-4.95528500e-06,-8.00000000e-04
-4.95512500e-06,-8.00000000e-04
-4.95496500e-06,-8.00000000e-04
-4.95480500e-06,0.00000000e+00
-4.95464500e-06,0.00000000e+00
-4.95448500e-06,0.00000000e+00
-4.95432500e-06,0.00000000e+00
-4.95416500e-06,0.00000000e+00
-4.95400500e-06,0.00000000e+00
-4.95384500e-06,0.00000000e+00
-4.95368500e-06,0.00000000e+00
-4.95352500e-06,0.00000000e+00
-4.95336500e-06,8.00000000e-04
-4.95320500e-06,0.00000000e+00
-4.95304500e-06,0.00000000e+00
-4.95288500e-06,0.00000000e+00
-4.95272500e-06,0.00000000e+00
-4.95256500e-06,0.00000000e+00
-4.95240500e-06,0.00000000e+00
-4.95224500e-06,0.00000000e+00
-4.95208500e-06,0.00000000e+00
-4.95192500e-06,0.00000000e+00
-4.95176500e-06,0.00000000e+00
-4.95160500e-06,0.00000000e+00
-4.95144500e-06,0.00000000e+00
-4.95128500e-06,0.00000000e+00
-4.95112500e-06,0.00000000e+00
-4.95096500e-06,0.00000000e+00
-4.95080500e-06,8.00000000e-04
-4.95064500e-06,8.00000000e-04
-4.95048500e-06,0.00000000e+00
-4.95032500e-06,0.00000000e+00
-4.95016500e-06,0.00000000e+00
-4.95000500e-06,0.00000000e+00
-4.94984500e-06,0.00000000e+00
-4.94968500e-06,0.00000000e+00
-4.94952500e-06,0.00000000e+00
-4.94936500e-06,8.00000000e-04
-4.94920500e-06,0.00000000e+00
-4.94904500e-06,0.00000000e+00
-4.94888500e-06,0.00000000e+00
-4.94872500e-06,0.00000000e+00
-4.94856500e-06,0.00000000e+00
-4.94840500e-06,0.00000000e+00
-4.94824500e-06,0.00000000e+00
-4.94808500e-06,0.00000000e+00
-4.94792500e-06,0.00000000e+00
-4.94776500e-06,0.00000000e+00
-4.94760500e-06,8.00000000e-04
-4.94744500e-06,0.00000000e+00
-4.94728500e-06,0.00000000e+00
-4.94712500e-06,0.00000000e+00
-4.94696500e-06,0.00000000e+00
-4.94680500e-06,-8.00000000e-04
-4.94664500e-06,-8.00000000e-04
-4.94648500e-06,0.00000000e+00
-4.94632500e-06,0.00000000e+00
-4.94616500e-06,0.00000000e+00
-4.94600500e-06,0.00000000e+00
-4.94584500e-06,0.00000000e+00
-4.94568500e-06,0.00000000e+00
-4.94552500e-06,0.00000000e+00
-4.94536500e-06,0.00000000e+00
-4.94520500e-06,0.00000000e+00
-4.94504500e-06,0.00000000e+00
-4.94488500e-06,0.00000000e+00
-4.94472500e-06,0.00000000e+00
-4.94456500e-06,0.00000000e+00
-4.94440500e-06,0.00000000e+00
-4.94424500e-06,0.00000000e+00
-4.94408500e-06,-8.00000000e-04
-4.94392500e-06,-8.00000000e-04
-4.94376500e-06,0.00000000e+00
-4.94360500e-06,0.00000000e+00
-4.94344500e-06,0.00000000e+00
-4.94328500e-06,0.00000000e+00
-4.94312500e-06,0.00000000e+00
-4.94296500e-06,0.00000000e+00
-4.94280500e-06,8.00000000e-04
-4.94264500e-06,8.00000000e-04
-4.94248500e-06,0.00000000e+00
-4.94232500e-06,0.00000000e+00
-4.94216500e-06,0.00000000e+00
-4.94200500e-06,0.00000000e+00
-4.94184500e-06,8.00000000e-04
-4.94168500e-06,8.00000000e-04
-4.94152500e-06,8.00000000e-04
-4.94136500e-06,8.00000000e-04
-4.94120500e-06,0.00000000e+00
-4.94104500e-06,0.00000000e+00
-4.94088500e-06,0.00000000e+00
-4.94072500e-06,0.00000000e+00
-4.94056500e-06,8.00000000e-04
-4.94040500e-06,8.00000000e-04
-4.94024500e-06,0.00000000e+00
-4.94008500e-06,0.00000000e+00
-4.93992500e-06,0.00000000e+00
-4.93976500e-06,0.00000000e+00
-4.93960500e-06,0.00000000e+00
-4.93944500e-06,8.00000000e-04
-4.93928500e-06,8.00000000e-04
-4.93912500e-06,8.00000000e-04
-4.93896500e-06,0.00000000e+00
-4.93880500e-06,0.00000000e+00
-4.93864500e-06,0.00000000e+00
-4.93848500e-06,0.00000000e+00
-4.93832500e-06,0.00000000e+00
-4.93816500e-06,0.00000000e+00
-4.93800500e-06,0.00000000e+00
-4.93784500e-06,0.00000000e+00
-4.93768500e-06,-8.00000000e-04
-4.93752500e-06,-8.00000000e-04
-4.93736500e-06,0.00000000e+00
-4.93720500e-06,0.00000000e+00
-4.93704500e-06,0.00000000e+00
-4.93688500e-06,8.00000000e-04
-4.93672500e-06,8.00000000e-04
-4.93656500e-06,0.00000000e+00
